need_id,need_category,need_name_jp,need_name_en,description,source_section,notes
N01,生活・経済,収入／家計／生活苦,Income and Household Hardship,"家計や生活費に関する支援・調整が必要な状態。アセスメント票Ⅰや経済状況項目を参照。","資料2 ニーズ領域 No.1","ニーズ名称は資料2トリガー表の表記に合わせる。"
N02,環境整備,福祉用具／住宅改修／生活環境整備のマネジメント,Welfare Equipment and Home Modification,"住環境や福祉用具の整備・管理が必要な状態。アセスメント票Ⅱ（住居環境）などを参照。","資料2 ニーズ領域 No.2","複数語句はスラッシュ区切りで原文を保持。"
N03,介護支援,介護者の介護負担／介護力／(虐待予防),Caregiver Burden and Capacity,"家族等の介護力不足や負担・虐待リスクが高い状態。","資料2 ニーズ領域 No.3","虐待予防も含む複合ニーズ。"
N04,生活習慣,生活習慣と健康行動,Lifestyle Habits and Hydration,"生活習慣・健康行動の改善や脱水予防が必要な状態。","資料2 ニーズ領域 No.4",""
N05,栄養,栄養／食事／共食の習慣／水分摂取／脱水予防, Nutrition and Hydration Habits,"栄養摂取や食事習慣、水分摂取の支援が必要な状態。","資料2 ニーズ領域 No.5",""
N06,口腔ケア,口腔／歯／嚥下,Oral Care and Swallowing,"口腔衛生や嚥下機能への支援が必要な状態。","資料2 ニーズ領域 No.6",""
N07,衛生,衛生（清潔）／整容,Personal Hygiene and Grooming,"清潔保持や整容に関する支援が必要な状態。","資料2 ニーズ領域 No.7",""
N08,スキンケア,スムースな排泄(排尿・排便), Skin and Nail Care,"排泄リズムや排泄自立支援が必要な状態。"資料2 ニーズ領域 No.8",""
N09,排泄,皮膚／爪の損傷／褥瘡／フットケア,Continence Support,"皮膚トラブルや爪管理が必要な状態。","資料2 ニーズ領域 No.9","尿・便の双方を含む。"
N10,リハビリ,リハビリテーション,Rehabilitation Needs,"機能訓練や言語聴覚療法等のリハビリ支援が必要な状態。","資料2 ニーズ領域 No.10",""
N11,移動,本人の家事力／家庭内の役割, Mobility Support,"屋内外の移動能力支援が必要な状態。","資料2 ニーズ領域 No.11",""
N12,ADL,コミュニケーション(会話・言語)／聴覚,Activities of Daily Living,"食事・更衣・入浴など基本的ADLへの支援が必要な状態。","資料2 ニーズ領域 No.12",""
N13,IADL,視力／視覚,Instrumental Activities of Daily Living,"買い物・家事・服薬管理などIADL支援が必要な状態。","資料2 ニーズ領域 No.13",""
N14,コミュニケーション,社会生活／日常生活／対人関係／生きがい・楽しみ,Communication Support,"会話や意思表示、聴力・視力支援が必要な状態。","資料2 ニーズ領域 No.14","資料2表の対応する項目を確認して正確な名称に更新すること。"
N15,認知・精神,メンタル／認知／せん妄, Cognitive and Behavioral Health,"認知機能低下やBPSDへの支援が必要な状態。","資料2 ニーズ領域 No.15",""
N16,精神心理,心身の痛み／苦痛の緩和,Mood and Motivation,"意欲低下や抑うつなど精神心理面の支援が必要な状態。","資料2 ニーズ領域 No.16",""
N17,疾患管理,特異行動(問題行動)／心の問題の兆候,Chronic Condition Management,"慢性疾患のモニタリングや症状コントロールが必要な状態。","資料2 ニーズ領域 No.17",""
N18,医療処置,身体的な問題の兆候／状態の急変・悪化／病状の管理,Medical Procedures and Device Management,"吸引・酸素・注射など医療処置が必要な状態。","資料2 ニーズ領域 No.18",""
N19,薬物療法,医療処置・器材,Medication Management,"服薬状況や副作用管理が必要な状態。","資料2 ニーズ領域 No.19",""
N20,疼痛・症状,エンドオブライフ／ACP,Pain and Symptom Relief,"疼痛やその他苦痛症状の緩和が必要な状態。","資料2 ニーズ領域 No.20",""
N21,緊急時対応,感染症／感染予防,Emergency Preparedness,"救急搬送希望やリスク対策が必要な状態。","資料2 ニーズ領域 No.21",""
N22,エンドオブライフ,薬の管理・調整,Palliative and End-of-Life Care,"人生の最終段階におけるケア希望・意思決定支援が必要な状態。","資料2 ニーズ領域 No.22",""
N23,社会資源,リスクマネジメント,Social Resource Coordination,"社会資源の導入や支援体制整備が必要な状態。","資料2 ニーズ領域 No.23","名称は資料2該当欄で要確認。"




